INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
mid	adjust_level	level	ATTR_HP	ATTR_MP	ATTR_HP_REF	ATTR_ATK_MIN	ATTR_ATK_MAX	ATTR_DEF_MIN	ATTR_DEF_MIN	ATTR_EXA	ATTR_AGI	ATTR_CRI_VAL	ATTR_ATTACK_RATE 	ATTR_MOV_SPD	ATTR_CRI_RAT	ATTR_CRI_RDC	ATTR_DMG_ADD_PER	ATTR_DMG_RDC_PER	ATTR_DOD_DEF	ATTR_HP_ADD	ATTR_MP_ADD	ATTR_ATK_ADD	ATTR_DEF_ADD	ATTR_PARALYZE	ATTR_FROZEN	ATTR_DEF_PARALYZE	ATTR_DEF_FROZEN	ATTR_LL	ATTR_DMG_ADD	ATTR_LUCKY	ATTR_ATK_XM	ATTR_DEF_XM	ATTR_ATK_ADD_XM	ATTR_DEF_ADD_XM
477116	1	150	200000000	15000	15000	15000	15000	2000	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	2	180	230000000	20000	20000	20000	20000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	3	210	260000000	25700	25700	25700	25700	3500	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	4	240	290000000	32100	32100	32100	32100	4000	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	5	270	320000000	39200	39200	39200	39200	4500	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	6	300	350000000	47000	47000	47000	47000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	7	330	380000000	55500	55500	55500	55500	5500	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	8	360	410000000	64700	64700	64700	64700	6000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	9	390	440000000	74600	74600	74600	74600	6500	6500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	10	420	470000000	85200	85200	85200	85200	7000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	11	450	500000000	96500	96500	96500	96500	7500	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	12	480	530000000	108500	108500	108500	108500	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	13	510	560000000	121200	121200	121200	121200	8500	8500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	14	540	590000000	134600	134600	134600	134600	9000	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	15	570	620000000	148700	148700	148700	148700	9500	9500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	16	600	650000000	163500	163500	163500	163500	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	17	630	680000000	179000	179000	179000	179000	10500	10500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	18	660	710000000	195200	195200	195200	195200	11000	11000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	19	690	740000000	212100	212100	212100	212100	11500	11500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477116	20	720	770000000	229700	229700	229700	229700	12000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
