STRING	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING
PingTai	Id	Type	Slot	Condition	Reward	IconId	MaxCondition	LoadUrl	Pic1	Pic2	Desc	PicBut	BtnBg	RewardPic	uiType	TitlePic	guanwangUrl	vipUrl	vipShow	QRPic	FAQUrl	CheckBindUrl
4366	0	1	1	1	567:1:1:1|13:1:1:1|153:1:1:1|9:1:1:1|575:1:2:1	1032	1	http://cgameres.game.yy.com/cgame/lobby4366/4366Gamesc.exe	1	1_1	1	But1	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	1	2	1	1	13:1:1:1|575:1:4:1|9:1:2:1	1032	9999	http://cgameres.game.yy.com/cgame/lobby4366/4366Gamesc.exe	1	1_1	使用4366游戏大厅，连续登陆1天可领取	But2	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	2	2	2	2	13:1:2:1|567:1:1:1|507:1:7:1	1032	9999	http://cgameres.game.yy.com/cgame/lobby4366/4367Gamesc.exe	1	1_1	使用4366游戏大厅，连续登陆2天可领取	But2	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	3	2	3	3	13:1:3:1|567:1:2:1|153:1:2:1|16:1:1:1	1032	9999	http://cgameres.game.yy.com/cgame/lobby4366/4368Gamesc.exe	1	1_1	使用4366游戏大厅，连续登陆3天可领取	But2	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	4	2	4	4	13:1:3:1|568:1:1:1|153:1:2:1|16:1:1:1	1032	9999	http://cgameres.game.yy.com/cgame/lobby4366/4369Gamesc.exe	1	1_1	使用4366游戏大厅，连续登陆4天可领取	But2	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	5	2	5	5	13:1:5:1|568:1:1:1|153:1:3:1|505:1:3:1	1032	9999	http://cgameres.game.yy.com/cgame/lobby4366/4370Gamesc.exe	1	1_1	使用4366游戏大厅，连续登陆5天可领取	But2	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	6	2	6	6	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	1032	9999	http://cgameres.game.yy.com/cgame/lobby4366/4371Gamesc.exe	1	1_1	使用4366游戏大厅，连续登陆6天可领取	But2	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	7	2	7	7	13:1:10:1|570:1:1:1|505:1:10:1|647:1:30:1|16:1:3:1	1032	9999	http://cgameres.game.yy.com/cgame/lobby4366/4372Gamesc.exe	1	1_1	使用4366游戏大厅，连续登陆7天可领取	But2	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	8	3	1	60	13:1:1:1|9:1:1:1|575:1:3:1	1032	700	http://cgameres.game.yy.com/cgame/lobby4366/4366Gamesc.exe	1	1_1	使用4366游戏大厅登陆，且游戏角色达60级可领取	But3	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
4366	9	3	2	150	13:1:2:1|9:1:2:1|575:1:5:1|16:1:1:1	1032	700	http://cgameres.game.yy.com/cgame/lobby4366/4366Gamesc.exe	1	1_1	使用4366游戏大厅登陆，且游戏角色达150级可领取	But3	BtnBg	-1	1	dt_1	-1	-1	0	-1	-1	-1
