INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Id	Item	Type	Count	Ssbind	Sum_probability	Job	Minute	Start_date	End_date	Limit_time	GongGao
7438	6003	1	1	1	1000	0	-1	-1	-1	0	0
7438	6004	1	1	1	1000	0	-1	-1	-1	0	0
7438	7407	1	1	1	1000	0	-1	-1	-1	0	0
7438	7408	1	1	1	1000	0	-1	-1	-1	0	0
7438	7114	1	1	1	1000	0	-1	-1	-1	0	0
7438	7115	1	1	1	1000	0	-1	-1	-1	0	0
7438	7007	1	1	1	1000	0	-1	-1	-1	0	0
7438	7041	1	1	1	500	0	-1	-1	-1	0	0
7438	7110	1	1	1	500	0	-1	-1	-1	0	0
7438	7095	1	1	1	500	0	-1	-1	-1	0	0
7438	7101	1	1	1	500	0	-1	-1	-1	0	0
7438	7362	1	1	1	100	0	-1	-1	-1	0	197
7438	3	3	1	1	100	0	-1	-1	-1	0	197
7438	13	3	1	1	100	0	-1	-1	-1	0	197
7438	23	3	1	1	100	0	-1	-1	-1	0	197
7438	33	3	1	1	100	0	-1	-1	-1	0	197
